Category,Sms,cleaned_sms
trust,"Kuna tatizo la maji mtaani, tumepanga kukutana na uongozi kesho.",kuna tatizo la maji mtaani tumepanga kukutana uongozi kesho
trust,Hali ya afya yako ikoje sasa?,hali afya yako ikoje sasa
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550750335946.,we need urgently need staff salary tzs reach hr team at wame
scam,tuma kwenye namba hii ya HaloPesa 0789723456 jina litakuja ABDALLAH MWANAKU Ukituma unijulishe,tuma kwenye namba halopesa jina litakuja abdallah mwanaku ukituma unijulishe
scam,"We need urgently Need Staff salary 6,000,000TZS. Reach HR team at: wa.me/2550675259049.",we need urgently need staff salary tzs reach hr team at wame
trust,Uliona ile live ya Harmonize? Jamaa alizungumzia mengi kuhusu maisha yake binafsi.,uliona ile live harmonize jamaa alizungumzia mengi kuhusu maisha binafsi
scam,Utanitumia kwa hîi Tigo 0696530433 j'ina ni HOSEA MKUMBUKWA.,utanitumia hîi tigo jina hosea mkumbukwa
scam,"IYO PESA ITUME KWENYE NAMBA HII 0657538690 JINA ITALETA JOACHIM KAPUFI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta joachim kapufi nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0747878264 AU 0747878264",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,MPIGIE MZEE ALLY ISSA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0773409724,mpigie mzee ally issa wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
trust,Nitakutafuta baadaye kwa mazungumzo zaidi.,nitakutafuta baadaye mazungumzo zaidi
trust,Nimepata tiketi ya bus.,nimepata tiketi bus
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0675259049 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Naomba unitumie iyo Hela kwenye namba hii ya Halotel 0789723456. jina (PEREGIA FILIPO),naomba unitumie iyo hela kwenye namba halotel jina peregia filipo
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0698945621 au 0698945621",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
trust,Nitapita nyumbani kesho asubuhi.,nitapita nyumbani kesho asubuhi
scam,Tumia namba hii ya halotel 0698018072 kutuma hiyo Hela jina JENEROZA ROCK BENEDICTO,tumia namba halotel kutuma hela jina jeneroza rock benedicto
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0788542784 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
trust,Tukutane kwenye mkahawa.,tukutane kwenye mkahawa
trust,"Ushindani wa La Liga msimu huu ni mkali, Real Madrid wanapambana sana.",ushindani wa la liga msimu huu mkali real madrid wanapambana
trust,Nahitaji msaada wako kufanya utafiti kuhusu historia ya Afrika Mashariki.,nahitaji msaada wako kufanya utafiti kuhusu historia afrika mashariki
trust,"Ninapenda sana kazi unayofanya, endelea hivyo.",ninapenda kazi unayofanya endelea hivyo
trust,"Nina shida ya haraka, unaweza kunisaidia?",nina shida haraka unaweza kunisaidia
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Halotel NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya halotel nakumbushia kodi mana naona kimya naomba tuwa siriane
trust,Nitakuja kukuchukua kazini saa kumi jioni.,nitakuja kukuchukua kazini saa kumi jioni
scam,Iyo ela tuma humu kwenye tigo 0689933027 Jina lije Magomba Maila.,iyo ela tuma humu kwenye tigo jina lije magomba maila
scam,Basi iyo hela nitumie kwenye namba hii 0788542784 jina litakuja (Magomba Maila) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja magomba maila ile namba usitumie laini inamatatizo
trust,Balaaaaa Mzee WA kazi,balaaaaa mzee wa kazi
trust,Uko wapi sasa? Ningependa kukuona kabla sijarudi nyumbani.,uko wapi sasa ningependa kukuona kabla sijarudi nyumbani
scam,"Tigo UT2I Imethibitishwa namba yako ya 065 ... imeshinda Tsh10,000,000.00/=million kutoka Tuzo point ilikupokea pesa yako piga 0783582817 Asante",tigo uti imethibitishwa namba yako imeshinda tshmillion kutoka tuzo point ilikupokea pesa yako piga asante
scam,"TUZO POINT hongera umepata zawadi Sh170,000 milioni kutoka (TUZO POINT) piga sim,.0695567435 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
scam,Au nitumie kwenye Tigopesa Namba.0782734560 jina litakuja JOACHIM KAPUFI,nitumie kwenye tigopesa namba jina litakuja joachim kapufi
scam,Utanitumia kwa hîi AIRTEL 0615810764 j'ina ni JUMA SIKAREKO.,utanitumia hîi airtel jina juma sikareko
trust,Umeona post ya Kajala? Anaonekana kurudi gym kwa kasi sana baada ya drama za ndoa.,umeona post kajala anaonekana kurudi gym kasi baada drama ndoa
trust,"Mama, kuna mkutano wa wazazi shule leo jioni. Tafadhali njoo ili tuzungumze kuhusu maendeleo ya mtoto.",mama kuna mkutano wa wazazi shule leo jioni tafadhali njoo ili tuzungumze kuhusu maendeleo mtoto
scam,au iyo ela nitumie kwenye Tigopesa hii 0689933027 Jina litoke 0689933027.,iyo ela nitumie kwenye tigopesa jina litoke
scam,au iyo ela nitumie kwenye m-pesa hii 0698018072 Jina litoke 0698018072.,iyo ela nitumie kwenye mpesa jina litoke
trust,"Nitafika nyumbani mapema, tafadhali niandalie chakula.",nitafika nyumbani mapema tafadhali niandalie chakula
trust,Tafadhali hakikisha umejiandaa kwa harusi ya Jumamosi. Tutanunua zawadi leo.,tafadhali hakikisha umejiandaa harusi jumamosi tutanunua zawadi leo
trust,unyama sana man,unyama man
trust,"Nilikutumia ujumbe jana, ulipata nafasi ya kuusoma?",nilikutumia ujumbe jana ulipata nafasi kuusoma
scam,Habari. Mimi  mwenye nyumba wako hii namba yangu ya VODACOM. Mbona kimya na siku zinazidi kwenda...?,habari mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,ela tuma kwa namba hii 0657666983 jina JUMANNE YASINI MASAKA,ela tuma namba jina jumanne yasini masaka
trust,Nasikia kuna msanii kutoka Nigeria anakuja kufanya show na Diamond. Itakuwa kubwa.,nasikia kuna msanii kutoka nigeria anakuja kufanya show diamond itakuwa kubwa
scam,TUMIA NAMBA HII (0654321098)KUNITUMIA IYO HELA JINA LITAONYESHA (OLIVA MATIAS),tumia namba kunitumia iyo hela jina litaonyesha oliva matias
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,hela tuma kwa namba hii 0696530433 jina MWANAIDI KHAMISI,hela tuma namba jina mwanaidi khamisi
scam,Utanitumia. kwemye namba 0788542784 ya HALOTEL jina NASHONI MBIRIBI.,utanitumia kwemye namba halotel jina nashoni mbiribi
scam,Naomba unitumie iyo ela kwenye namba hii ya Airtel 0657538690. jina (LINUSI MALALO),naomba unitumie iyo ela kwenye namba airtel jina linusi malalo
scam,Habari za siku. Mimi  mwenye nyumba wako hii namba yangu ya TIGO. Mbona kimya na siku zinazidi kwenda...?,habari siku mwenye nyumba wako namba tigo mbona kimya siku zinazidi kwenda
trust,Hii beef ya Diamond na Ali Kiba itaisha lini? Wote wana vipaji vya kipekee.,beef diamond ali kiba itaisha lini wote wana vipaji vya kipekee
scam,MPIGIE MZEE JUMA SIKAREKO WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0689933027,mpigie mzee juma sikareko wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,"Mpigie Mzee JENEROZA ROCK BENEDICTO kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0696530433",mpigie mzee jeneroza rock benedicto tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Utanitumia kwenye ii 0716484506 airtel jina JOACHIM KAPUFI namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina joachim kapufi namba inadeni usiitumie
trust,"Habari dada, nilitaka kukwambia kuwa mkutano wa jana ulikuwa mzuri sana. Tumepanga kufanya kazi kwa pamoja ili kuhakikisha kila mmoja anapata nafasi ya kuchangia mawazo.",habari dada nilitaka kukwambia kuwa mkutano wa jana ulikuwa mzuri tumepanga kufanya kazi pamoja ili kuhakikisha kila mmoja anapata nafasi kuchangia mawazo
scam,Nitumie tu kwenye hii Tigo 0689592818 jina HOSEA MKUMBUKWA.,nitumie tu kwenye tigo jina hosea mkumbukwa
trust,Na mwanaume je?,mwanaume
scam,hela tuma kwa namba hii 0698945621 jina LINUSI MALALO,hela tuma namba jina linusi malalo
scam,Tumia namba hii ya AIRTEL 0657538690 kutuma hiyo pesa jina Ester kalobelo,tumia namba airtel kutuma pesa jina ester kalobelo
scam,MPIGIE MZEE LUKA KIMBANGU WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0788542784,mpigie mzee luka kimbangu wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
trust,Nitapenda kujifunza zaidi kuhusu kazi unayofanya.,nitapenda kujifunza zaidi kuhusu kazi unayofanya
scam,Tumia namba hii ya HALOTEL 0676584303 kutuma hiyo hela jina ALLY ISSA,tumia namba halotel kutuma hela jina ally issa
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0654321098 AU 0654321098",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,"Mpigie Mzee NASHONI MBIRIBI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0787-406-889",mpigie mzee nashoni mbiribi tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"TUZO POINT hongera umepata zawadi Sh4,000,000 milioni kutoka (TUZO POINT) piga sim,.0788542784 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,"Tuzo point hongera umepata zawadi Sh170,000 milioni kutoka (Tuzo point) piga sim,.0689933027 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
scam,Utanitumia kwa hîi Tigo 0675259049 j'ina ni PEREGIA FILIPO.,utanitumia hîi tigo jina peregia filipo
trust,"Dada, umesikia kuhusu skendo ya huyo influencer maarufu? Watu wanamuita 'mcheshi wa mtandao'.",dada umesikia kuhusu skendo huyo influencer maarufu watu wanamuita mcheshi wa mtandao
trust,"Habari za kazi leo? Je, umefanikiwa kumaliza ripoti?",habari kazi leo umefanikiwa kumaliza ripoti
scam,Iyo Hela itume humu kwenye halotel 0689592818 jina lije JOACHIM KAPUFI.,iyo hela itume humu kwenye halotel jina lije joachim kapufi
trust,Bado sijashangaa kuhusu ushindi wa City jana. Ni kawaida yao kucheza vizuri.,bado sijashangaa kuhusu ushindi wa city jana kawaida yao kucheza vizuri
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By SAID MTAALAM ,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by said mtaalam grp member
scam,Iyo ela tuma humu kwenye AIRTEL 0755896103 Jina lije NASHONI MBIRIBI.,iyo ela tuma humu kwenye airtel jina lije nashoni mbiribi
scam,au iyo ela nitumie kwenye Tigopesa hii 0782734560 Jina litoke 0782734560.,iyo ela nitumie kwenye tigopesa jina litoke
scam,Au nitumie kwenye HaloPesa Namba.0698018072 jina litakuja ABDALLAH MWANAKU,nitumie kwenye halopesa namba jina litakuja abdallah mwanaku
trust,Nimefurahi sana kupata nafasi ya kuonana nawe leo.,nimefurahi kupata nafasi kuonana nawe leo
trust,Naomba unijulishe kama utaweza kufika leo.,naomba unijulishe kama utaweza kufika leo
trust,Noma sana,noma
scam,MPIGIE MZEE JOACHIM KAPUFI WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0696530433,mpigie mzee joachim kapufi wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,MZEE SALOME KALUNGA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0657666983)(0657666983),mzee salome kalunga tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"Congratulations! Your CV has passed. You can get 4,000,000TZS in a day. for details: wa.me/2550773409724",congratulations your cv has passed you can get tzs in a day for details wame
scam,Tumia namba hii ya airtel 0783582817 kutuma hiyo ela jina JUMA SIKAREKO,tumia namba airtel kutuma ela jina juma sikareko
trust,Nitakutumia ujumbe mara tu nitakapomaliza.,nitakutumia ujumbe mara tu nitakapomaliza
scam,Tumia namba hii ya airtel 0767274553 kutuma hiyo hela jina LINUSI MALALO,tumia namba airtel kutuma hela jina linusi malalo
scam,Au nitumie kwenye M-Pesa Namba.0767274553 jina litakuja MWANAIDI KHAMISI,nitumie kwenye mpesa namba jina litakuja mwanaidi khamisi
scam,"IYO PESA ITUME KWENYE NAMBA HII 0789723456 JINA ITALETA HADIJA LAI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta hadija lai nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,Tumia namba hii ya halotel 0654321098 kutuma hiyo ela jina JENEROZA ROCK BENEDICTO,tumia namba halotel kutuma ela jina jeneroza rock benedicto
scam,"Dear, No need to go out work, just at home to earn 6,000,000TZS a day, please contact us: https://wa.me/2550657666983",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0755896103",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
trust,"Usiku mwema, naomba uniamshie saa kumi alfajiri.",usiku mwema naomba uniamshie saa kumi alfajiri
scam,"Congratulations! Your CV has passed. You can get 2,000,000TZS in a day. for details: wa.me/2550783582817",congratulations your cv has passed you can get tzs in a day for details wame
scam,Tumia namba hii ya vodacom 0786543210 kutuma hiyo pesa jina PEREGIA FILIPO,tumia namba vodacom kutuma pesa jina peregia filipo
trust,"Leo sina muda, lakini nitapanga kesho.",leo sina muda lakini nitapanga kesho
scam,Nitumie tu kwenye hii HALOTEL 0716484506 jina JENEROZA ROCK BENEDICTO.,nitumie tu kwenye halotel jina jeneroza rock benedicto
scam,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
scam,Basi iyo hela nitumie kwenye namba hii 0698018072 jina litakuja (HOSEA MKUMBUKWA) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja hosea mkumbukwa ile namba usitumie laini inamatatizo
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0781476081 au 0781476081",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,"IYO PESA ITUME KWENYE NAMBA HII 0654321098 JINA ITALETA OLIVA MATIAS NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta oliva matias nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,Utanitumia kwa hîi TIGO 0657666983 j'ina ni ALLY ISSA.,utanitumia hîi tigo jina ally issa
scam,au iyo ela nitumie kwenye m-pesa hii 0755896103 Jina litoke 0755896103.,iyo ela nitumie kwenye mpesa jina litoke
scam,au iyo ela nitumie kwenye Tigopesa hii 0617488472 Jina litoke 0617488472.,iyo ela nitumie kwenye tigopesa jina litoke
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550657666983",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,"voda 1XNJ Imethibitishwa namba yako ya 078 ... imeshinda Tsh170,000.00/=million kutoka TUZO  POINTI ilikupokea Pesa yako piga 0782734560 Asante",voda xnj imethibitishwa namba yako imeshinda tshmillion kutoka tuzo pointi ilikupokea pesa yako piga asante
scam,Habari za mchana. Mimi  mwenye nyumba wako hii namba yangu ya voda. Mbona kimya na siku zinazidi kwenda...?,habari mchana mwenye nyumba wako namba voda mbona kimya siku zinazidi kwenda
trust,Habari za mchana?,habari mchana
scam,Nitumie tu kwenye hii airtel 0750335946 jina Ester kalobelo.,nitumie tu kwenye airtel jina ester kalobelo
scam,tuma kwenye namba hii ya M-Pesa 0698018072 jina litakuja RAMATUNGU Ukituma unijulishe,tuma kwenye namba mpesa jina litakuja ramatungu ukituma unijulishe
trust,Kumbuka kuleta ripoti ya mauzo ya wiki wakati wa kikao.,kumbuka kuleta ripoti mauzo wiki wakati wa kikao
trust,"Kuna sherehe ya kuzaliwa kesho, tutaenda pamoja, hivyo tafadhali jivalie vizuri.",kuna sherehe kuzaliwa kesho tutaenda pamoja hivyo tafadhali jivalie vizuri
trust,"Mama, umerudi nyumbani salama? Nataka nikutume dukani kidogo.",mama umerudi nyumbani salama nataka nikutume dukani kidogo
scam,Tumia namba hii ya AIRTEL 0750335946 kutuma hiyo ela jina Magomba Maila,tumia namba airtel kutuma ela jina magomba maila
scam,"Congratulations! Your CV has passed. You can get 6,000,000TZS in a day. for details: wa.me/2550654321098",congratulations your cv has passed you can get tzs in a day for details wame
scam,au iyo ela nitumie kwenye Tigopesa hii 0782734560 Jina litoke 0782734560.,iyo ela nitumie kwenye tigopesa jina litoke
trust,Nipigie nikimaliza kikao changu.,nipigie nikimaliza kikao changu
scam,Habari za mda huu. Mimi  mwenye nyumba wako hii namba yangu ya vodacom. Mbona kimya na siku zinazidi kwenda...?,habari mda huu mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
trust,"Nimesikia habari njema kuhusu mtoto wako, hongera sana.",nimesikia habari njema kuhusu mtoto wako hongera
scam,Utanitumia kwa hîi voda 0698945621 j'ina ni JUMANNE YASINI MASAKA.,utanitumia hîi voda jina jumanne yasini masaka
trust,Tafadhali nikumbushie tarehe ya harusi.,tafadhali nikumbushie tarehe harusi
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0696530433 AU 0696530433",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0716484506 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Nitumie tu kwenye hii Vodacom 0789723456 jina HOSEA MKUMBUKWA.,nitumie tu kwenye vodacom jina hosea mkumbukwa
scam,ela tuma kwa namba hii 0654321098 jina JUMA SIKAREKO,ela tuma namba jina juma sikareko
scam,Iyo Pesa itume humu kwenye Tigo 0676584303 jina lije OLIVA MATIAS.,iyo pesa itume humu kwenye tigo jina lije oliva matias
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya airtel. Mbona kimya na siku zinazidi kwenda...?,habari asubuhi mwenye nyumba wako namba airtel mbona kimya siku zinazidi kwenda
scam,Basi iyo hela nitumie kwenye namba hii 0716484506 jina litakuja (Magomba Maila) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja magomba maila ile namba usitumie laini inamatatizo
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698018072 JINA ITALETA PETER NYANGE NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta peter nyange nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,Iyo ela tuma humu kwenye VODACOM 0716484506 Jina lije LINUSI MALALO.,iyo ela tuma humu kwenye vodacom jina lije linusi malalo
trust,Uliona post ya TID? Jamaa anasema yuko tayari kurudi kwenye game kwa nguvu.,uliona post tid jamaa anasema yuko tayari kurudi kwenye game nguvu
trust,"Nimefurahia chakula ulichopika leo, asante sana.",nimefurahia chakula ulichopika leo asante
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA HALOTEL NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya halotel nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,Naomba unitumie iyo ela kwenye namba hii ya Halotel 0787-406-889. jina (MWANAIDI KHAMISI),naomba unitumie iyo ela kwenye namba halotel jina mwanaidi khamisi
scam,Basi iyo hela nitumie kwenye namba hii 0767274553 jina litakuja (SALOME KALUNGA) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja salome kalunga ile namba usitumie laini inamatatizo
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
trust,Tumetoka mbali sana kwa kweli. Mungu aendelee kutusimamia.,tumetoka mbali kweli mungu aendelee kutusimamia
scam,Pesa tuma kwa namba hii 0695567435 jina KHADIJA SUMBAI,pesa tuma namba jina khadija sumbai
scam,"Mpigie Mzee RAMATUNGU kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657666983",mpigie mzee ramatungu tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"We need urgently Need Staff salary 170,000TZS. Reach HR team at: wa.me/2550676584303.",we need urgently need staff salary tzs reach hr team at wame
scam,"IYO PESA ITUME KWENYE NAMBA HII 0784862618 JINA ITALETA JOACHIM KAPUFI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta joachim kapufi nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
trust,Uko sawa mzee,uko sawa mzee
scam,Utanitumia. kwemye namba 0755896103 ya Halotel jina Magomba Maila.,utanitumia kwemye namba halotel jina magomba maila
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0789723456 AU 0789723456",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
trust,Yule msanii wa zamani wa Taarab amerudi kwenye game. Lazima tusikie nyimbo zake mpya.,yule msanii wa zamani wa taarab amerudi kwenye game lazima tusikie nyimbo zake mpya
scam,Utanitumia kwenye ii 0787-406-889 HALOTEL jina JENEROZA ROCK BENEDICTO namba yangu inadeni usiitumie,utanitumia kwenye ii halotel jina jeneroza rock benedicto namba inadeni usiitumie
trust,"Mama, kuna mkutano wa wazazi shule leo jioni. Tafadhali njoo ili tuzungumze kuhusu maendeleo ya mtoto.Nashukuru kwa kunitumia hiyo fedha, nitaitumia kwa ajili ya gharama za matibabu.",mama kuna mkutano wa wazazi shule leo jioni tafadhali njoo ili tuzungumze kuhusu maendeleo mtotonashukuru kunitumia fedha nitaitumia ajili gharama matibabu
trust,Nitakutembelea ofisini kwako kwa mazungumzo rasmi.,nitakutembelea ofisini kwako mazungumzo rasmi
